message_id,sms_text,sender_type,message_length,contains_url,contains_phone,contains_email,contains_currency,contains_special_chars,language,label
1,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
2,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
3,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
4,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
5,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
6,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
7,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
8,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
9,See you at 5 pm.,Contact,16,0,0,0,0,0,English,Ham
10,Lowest loan rates available. Apply now!,Unknown,39,0,0,0,0,1,English,Spam
11,Urgent! Verify your account at http://fake.link,Unknown,47,1,0,0,0,1,English,Spam
12,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
13,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
14,Lowest loan rates available. Apply now!,Unknown,39,0,0,0,0,1,English,Spam
15,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
16,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
17,Congratulations! You've won $1000. Click now!,Unknown,45,0,0,0,1,1,English,Spam
18,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
19,Lowest loan rates available. Apply now!,Unknown,39,0,0,0,0,1,English,Spam
20,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
21,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
22,Congratulations! You've won $1000. Click now!,Unknown,45,0,0,0,1,1,English,Spam
23,Call me when you're free.,Contact,25,0,0,0,0,0,English,Ham
24,Claim your free prize today.,Unknown,28,0,0,0,0,0,English,Spam
25,Don't forget the meeting tomorrow.,Contact,34,0,0,0,0,0,English,Ham
26,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
27,Happy birthday!,Contact,15,0,0,0,0,1,English,Ham
